Geography,Category,Brand Name,Company Name (GBO),Data Type,Unit,2016,2017,2018,2019,2020,2021
Malaysia,Mobile Phones,Realme (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,-,-,21.1,200.0,980.0,"1,222.0"
China,Mobile Phones,Philips (Koninklijke Philips Electronics NV),Koninklijke Philips Electronics NV,Retail Volume,000 units,-,-,-,-,-,-
USA,Mobile Phones,Pantech (Pantech Group),Pantech Group,Retail Volume,000 units,-,-,-,-,-,-
India,Mobile Phones,Panasonic (Panasonic Corp),Panasonic Corp,Retail Volume,000 units,"2,259.5","3,483.5","4,430.5","4,637.4","4,420.8","2,617.8"
Thailand,Mobile Phones,Others,Others,Retail Volume,000 units,"5,699.9","3,113.2","1,746.1","1,297.5",253.7,435.8
China,Mobile Phones,Others,Others,Retail Volume,000 units,"23,846.2","20,802.7","18,084.7","16,324.4","7,616.4","11,835.5"
Malaysia,Mobile Phones,Others,Others,Retail Volume,000 units,306.7,261.7,184.9,143.4,110.9,96.3
USA,Mobile Phones,Others,Others,Retail Volume,000 units,"17,575.9","23,511.0","29,393.4","34,037.8","29,145.8","33,817.9"
Philippines,Mobile Phones,Others,Others,Retail Volume,000 units,"2,894.4","1,988.4","2,427.7","2,038.1","4,496.6","5,930.6"
India,Mobile Phones,Others,Others,Retail Volume,000 units,"54,978.5","42,541.5","29,871.1","21,451.5","10,651.2","16,576.0"
Singapore,Mobile Phones,Others,Others,Retail Volume,000 units,316.0,326.0,332.1,387.4,354.1,292.3
Indonesia,Mobile Phones,Others,Others,Retail Volume,000 units,"3,665.3","1,711.9","1,290.9","1,270.2","1,156.2","2,092.3"
Vietnam,Mobile Phones,Others,Others,Retail Volume,000 units,"4,569.0","3,739.5","3,501.6","2,368.1","1,361.0",970.3
India,Mobile Phones,Oppo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,"7,334.6","8,512.3","9,928.9","11,177.0","11,288.8","11,689.9"
Indonesia,Mobile Phones,Oppo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,"4,541.8","6,606.6","6,003.8","8,050.0","7,518.7","7,894.6"
Philippines,Mobile Phones,Oppo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,"1,176.2","1,188.0","1,411.0","1,866.3","1,906.9","2,003.8"
Malaysia,Mobile Phones,Oppo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,664.8,963.9,"1,204.9","1,289.1","1,254.6","1,269.8"
Vietnam,Mobile Phones,Oppo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,"2,950.0","3,382.0","3,582.0","3,879.2","4,002.1","4,160.9"
China,Mobile Phones,Oppo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,"75,000.0","82,500.0","80,025.0","64,219.0","57,348.0","71,283.0"
Thailand,Mobile Phones,Oppo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,568.6,"1,208.1","2,779.0","3,168.0","3,937.9","4,134.8"
Singapore,Mobile Phones,Oppo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,134.3,146.7,178.0,165.0,138.9,145.8
China,Mobile Phones,OnePlus (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,-,-,-,-,"1,250.0","1,650.0"
India,Mobile Phones,OnePlus (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,-,"1,100.0","1,241.1","1,430.1","1,681.3","2,181.5"
China,Mobile Phones,Nubia (Nubia Technology Co Ltd),Nubia Technology Co Ltd,Retail Volume,000 units,-,"1,350.0","1,080.0",702.0,391.7,420.0
Singapore,Mobile Phones,Nokia (Nokia Corp),Nokia Corp,Retail Volume,000 units,52.0,28.5,18.6,15.0,12.2,10.0
USA,Mobile Phones,Nokia (Nokia Corp),Nokia Corp,Retail Volume,000 units,"1,384.8",-,-,-,-,-
China,Mobile Phones,Nokia (Nokia Corp),Nokia Corp,Retail Volume,000 units,846.8,772.8,714.6,674.0,527.6,457.7
Philippines,Mobile Phones,Nokia (Nokia Corp),Nokia Corp,Retail Volume,000 units,391.8,238.2,190.6,194.4,179.5,165.1
Indonesia,Mobile Phones,Nokia (Nokia Corp),Nokia Corp,Retail Volume,000 units,"4,087.4","2,832.2","2,112.1","2,111.2","1,608.1","1,173.7"
Thailand,Mobile Phones,Nokia (Nokia Corp),Nokia Corp,Retail Volume,000 units,995.5,784.0,588.3,705.3,663.8,516.1
Malaysia,Mobile Phones,Nokia (Nokia Corp),Nokia Corp,Retail Volume,000 units,317.6,277.5,245.1,196.1,153.9,123.1
